State,real_gdp_total_norm,real_pce_total_norm,disposable_income_total_norm,real_pc_income_norm,pc_pce_norm,rpp_index_norm,employment_total_norm,arts_ratio_norm
AL,0.06344275385225175,0.09714075193948407,0.07165182983146137,0.12793651259763905,0.14741614376293571,0.8979905309190789,0.09682182280566108,0.07916985237951374
AK,0.006184747877085737,0.004823548882287675,0.004559344392629,0.34258090092206495,0.4152994513617399,0.38943402363656054,0.0020810881539910083,0.25364671275908196
AZ,0.11540091724591442,0.15583353948128725,0.12503946979340325,0.15121571621542257,0.27273892046387854,0.507038563012758,0.15178236761334507,0.16347264364565986
AR,0.0324943390938012,0.05295697608217054,0.04027517915142486,0.21973189639983554,0.14216629981274026,0.9262351367956919,0.05285888618454728,0.0923031211591506
CA,0.9514603957667198,0.9467977573354307,0.8955573831251886,0.4106566042168321,0.43092414336870455,0.03650294553471373,0.9599610511271465,0.7489106747379115
CO,0.11827379641210914,0.1403011060298508,0.12281611038922961,0.49901626827979095,0.41885410164591474,0.3864975243051788,0.14635456737880997,0.3138579160875499
CT,0.07446651950412639,0.08335976348941689,0.07946352002168384,0.7198566981852352,0.4471894608889911,0.3177021215078246,0.07707163884292303,0.2772501712541203
DE,0.014319289982021487,0.011520978580024566,0.007683304545513425,0.27391789510777,0.34345083609842636,0.5560735841555531,0.009464568161123163,0.006028626060951261
DC,0.03361971322880035,0.009326531113650562,0.008256112751497624,0.9558201679685205,0.8357469036433522,0.06375365932993574,0.019442937399455875,0.980302730411308
FL,0.3658971991588752,0.5415147432059291,0.43699320054025736,0.24774622658131204,0.3631131114688393,0.4091582637608876,0.542500725724563,0.1939898581508188
GA,0.19128988649603262,0.23265618383665304,0.1820795716606396,0.16848241028954014,0.2264693321068366,0.6355036322237884,0.25552073666106334,0.2757819524832403
HI,0.016564058749497908,0.01778329127842438,0.016585879236569578,0.08189199506665884,0.33741252997798876,0.06804546604503228,0.019168587702274625,0.2105964684769462
ID,0.018156530366482123,0.027125348179399874,0.0223689996338206,0.2152830798144124,0.15858930976707514,0.7873070945823846,0.03045585827502717,0.13539494808436464
IL,0.2542518003937005,0.2997868282162064,0.2516016413862669,0.383648029600047,0.33686389171786196,0.4628916838338935,0.2989617472667684,0.26636876889017846
IN,0.10936853979723868,0.14454193398032103,0.11391470568940272,0.25916191930463384,0.21451427445054044,0.7643481875022587,0.14552757892329082,0.10785066757376742
IA,0.05119284814851789,0.06070337700038194,0.04841488473984619,0.35215393199036826,0.1941620946811656,0.8629513173587771,0.06679609383469683,0.1172585177541935
KS,0.04364745500554142,0.054759342942143234,0.044076668689544365,0.37825218770188523,0.20999375800781891,0.8117749105497125,0.06163837035819223,0.15852997157219015
KY,0.057330175333489344,0.08869893194023258,0.06373321079996619,0.14290538556410406,0.178343572390683,0.8565271603599695,0.08807703045025103,0.1039919927804662
LA,0.06426730831594579,0.09280728679130841,0.07073880489017334,0.22243348798966348,0.19824567167121127,0.8280476345368462,0.09289635779590996,0.11150176731862682
ME,0.012405250613990773,0.021936970533199665,0.0149683593979058,0.23077318376695838,0.3711685666414797,0.5420958473381763,0.018416065933516086,0.12435717779447253
MD,0.11608601309767579,0.128143965123743,0.12195360399780433,0.3744640864509309,0.3119944807648083,0.2854729119230906,0.137205450141829,0.1681333979705337
MA,0.17387684222044278,0.17744239837568668,0.1660853040605242,0.6717639631174017,0.503350964223529,0.17614478297011088,0.17802888046214457,0.3295034753490228
MI,0.15427128111207997,0.22971998507127453,0.17142207976805204,0.22257297233805134,0.2602845034330957,0.6914326502584118,0.21211208284736593,0.18943987403927803
MN,0.10681281246756205,0.12828845027964667,0.10879154391624757,0.4414753039290539,0.31592693583889087,0.5514926451985975,0.13436937017432876,0.20203565474586155
MS,0.025884936597881113,0.04785276454620548,0.03315182683684097,0.03780759969460269,0.10446138177995334,0.9628916838338936,0.04980020038337318,0.05808632817756092
MO,0.09302867269183493,0.13702112002811856,0.10185064755532422,0.2733452751512304,0.2523604586221624,0.777350103003361,0.13779740311726002,0.18392926446541757
MT,0.0071083886220999915,0.01476944995730953,0.009427385399707307,0.3495184119339872,0.3042544104602648,0.8060916549206693,0.013134117473263355,0.267299928229366
NE,0.032674194467408796,0.03450389689090389,0.02916857776841166,0.48370235508310333,0.25734419658990115,0.7950504174346741,0.03806484304295217,0.18731143063514571
NV,0.04821922138875991,0.06157753330322239,0.05015599883056591,0.28638339108474775,0.2767896448634975,0.6061928512053198,0.06349249237443177,0.2673243507770049
NH,0.017847501858211337,0.023195771407459473,0.02091623266724154,0.4660098666823281,0.461982982358159,0.2891864541544688,0.020307286274612583,0.20645999916999577
NJ,0.1865510849391998,0.21980132221962975,0.2070720050209338,0.4633890291889352,0.42658103091428756,0.1395334128446997,0.21362309896897475,0.26623661084081723
NM,0.02289045181860095,0.03193649005093929,0.02375327336385432,0.11350355318024313,0.16110581819376457,0.8136994470345874,0.02887877838416979,0.19432646021119526
NY,0.5295884993705491,0.47888674057994646,0.4396285152490947,0.47387237916250663,0.4148559413909787,0.1634681412411,0.48750809416191815,0.6247452469169427
NC,0.17891923637416285,0.2372468731472901,0.18417896074414783,0.24004522229400366,0.2366996287657282,0.7206079005385087,0.2425996148795178,0.18964354365503722
ND,0.008210229536244382,0.006765606970849708,0.005151840486738638,0.5899160157397075,0.32009921482308884,0.8398388087751635,0.007184534184108876,0.16813650003612168
OH,0.20215381802993476,0.2685988990201158,0.20463528239479375,0.2698948728490045,0.23398929005552088,0.7727962701940798,0.2693415742286173,0.15635244730096814
OK,0.05105384761900515,0.07269224016246618,0.06186876709806379,0.2672373289481412,0.14047110614671968,0.8708843832447866,0.07843429343416834,0.10717270507021243
OR,0.06725483024244257,0.08247322741405155,0.07121301347815968,0.2027074646150232,0.3021781267452939,0.31889479200549337,0.08780065547521954,0.24909872545874062
PA,0.2267354246343105,0.31639048651661644,0.2500874359516855,0.37701885241087685,0.32576957193074674,0.592115725179804,0.2953309323862975,0.19464609408820838
RI,0.00878568488772965,0.011390793491393839,0.01025973666004554,0.2555500088095378,0.3078090607444397,0.3910061802016696,0.010211538285892193,0.20922649124629436
SC,0.06826906136682816,0.10661027010675259,0.07892946777516836,0.13905855406119694,0.21233614770524656,0.7407206621128337,0.10468511893344896,0.15035645564289424
SD,0.007179635707817808,0.008612426611373798,0.008336863039016004,0.5972719797967934,0.25964716317881664,0.8638458202320286,0.009416549220407017,0.18189247704478462
TN,0.11553541635218037,0.14938084522059336,0.12249389619754243,0.28428378457743586,0.21029600183974506,0.7914091582637609,0.1603622626404143,0.22738458068926248
TX,0.6022776713007608,0.6769426995487227,0.5883817224527306,0.2617020027015916,0.2537074148296593,0.5529292710253351,0.75025692039427,0.16474354464073832
UT,0.056377162343707245,0.06307029689717958,0.051034251353951454,0.24964027720678922,0.22865074411117314,0.6648866963027213,0.07597260394738567,0.2890730749315498
VT,0.0006574215658301545,0.002195918330436366,0.001146514798090853,0.2711135255770247,0.36822168928019977,0.49313310925584575,0.0011104241050952416,0.21678359305483355
VA,0.16681792649969848,0.1911733365902985,0.17229155735721827,0.38225318611616843,0.30710601530930715,0.423370920524775,0.20364878028634253,0.15741598374530527
WA,0.18735413396021813,0.17174820692137419,0.1735335169755281,0.4216685264579785,0.3758139229278229,0.1607033141783221,0.17100275477498966,0.9192278260595156
WV,0.01402021713167784,0.02671733321232299,0.016687222762569363,0.07165090738239267,0.18979598541344983,0.8649842784343488,0.019078204714290878,0.07290431752389673
WI,0.09407088959819729,0.13005803593778506,0.10153282779498021,0.341978915839549,0.2596044548112618,0.7366095630488994,0.13290183795950478,0.18599060262972267
WY,0.0017661886861643436,0.0011363650601798581,0.002111172566602795,0.7335995771421859,0.32681428430631754,0.7862860963533195,0.0011268804804117907,0.3813686098604824
